"mietekalt","qm_Preis","wohnflaeche","alter","objektzustand","zimmeranzahl","balkon","einbaukueche","keller","ausstattung","ausstattung_kat","aufzug","gaestewc","garten","heizungsart","barrierefrei","Einstellungsdatum","Einstellungsmonat"
680,9.06666660308838,75,37,6,3,1,0,1,1,2,0,0,1,13,0,2019-11-01,"11"
266,4.72636842727661,56.2799987792969,56,7,2,1,0,1,0,0,0,0,0,3,0,2019-03-01,"03"
700,8.53658580780029,82,40,6,3,1,1,1,1,2,0,1,0,6,0,2019-02-01,"02"
995,8.29166698455811,120,39,NA,2.5,0,1,0,0,0,0,0,0,13,0,2019-04-01,"04"
218.98,5.07838582992554,43.1199989318848,44,NA,1,1,0,1,0,0,1,0,0,13,0,2019-05-01,"05"
720,9.60896873474121,74.9300003051758,NA,1,3,1,0,1,1,2,0,0,0,NA,0,2019-07-01,"07"
300,5.45454549789429,55,111,NA,3,1,0,1,0,0,0,0,0,13,0,2019-07-01,"07"
595,6.91860485076904,86,NA,NA,2,0,1,1,0,0,0,0,0,13,0,2019-05-01,"05"
428,6.59577751159668,64.8899993896484,45,NA,2,1,0,1,0,0,1,0,0,6,0,2019-06-01,"06"
550,5.5,100,47,7,4,1,0,1,1,1,0,1,0,13,0,2019-11-01,"11"
422,6.10355806350708,69.1399993896484,63,4,3,1,0,1,0,0,0,0,0,13,0,2019-01-01,"01"
386.4,5.16784811019897,74.7699966430664,34,7,2,0,0,0,0,0,1,0,0,NA,0,2019-09-01,"09"
566,7.00495004653931,80.8000030517578,23,7,3,1,0,1,1,1,0,0,0,4,0,2019-09-01,"09"
540,9,60,NA,4,2,1,0,0,1,2,0,0,0,10,0,2019-01-01,"01"
750,8.06104850769043,93.0400009155273,115,5,3,1,0,1,1,2,1,0,0,4,0,2019-11-01,"11"
880,11,80,2,1,3,1,0,1,1,2,1,1,0,4,0,2018-10-01,"10"
250,5.55555534362793,45,NA,NA,1,1,1,1,0,0,0,0,1,NA,0,2019-09-01,"09"
600,10,60,NA,4,2,0,0,0,0,0,0,0,0,4,0,2019-03-01,"03"
590,9.36507892608643,63,13,3,3,0,1,0,0,0,0,0,0,3,0,2019-06-01,"06"
780,7.64705896377563,102,110,NA,4,1,0,1,1,1,0,0,0,4,0,2019-03-01,"03"
1100,18.3333339691162,60,107,4,3,0,0,0,0,0,0,0,0,6,0,2019-07-01,"07"
597.49,9.94987487792969,60.0499992370605,63,NA,3,1,0,1,0,0,0,0,0,3,0,2019-03-01,"03"
600,8,75,108,NA,2.5,0,0,0,0,0,0,0,0,13,0,2019-09-01,"09"
650,8.66666698455811,75,NA,NA,3,0,0,1,0,0,0,0,0,NA,0,2019-10-01,"10"
800,7.27272748947144,110,69,5,3,0,0,1,1,2,0,0,0,4,0,2019-01-01,"01"
323,5.39142036437988,59.9099998474121,63,5,3,1,0,1,0,0,0,0,0,3,0,2019-03-01,"03"
484.19,8.69906616210938,55.6599998474121,61,NA,2,1,0,1,0,0,0,0,0,13,0,2019-09-01,"09"
650,10.8333330154419,60,NA,NA,2,1,1,1,0,0,1,0,0,NA,0,2019-10-01,"10"
628,7.65853643417358,82,21,6,3,1,0,1,1,1,0,0,0,13,0,2019-07-01,"07"
760,11.3432836532593,67,3,NA,2,1,1,1,0,0,1,0,0,5,0,2019-07-01,"07"
620,7.5151515007019,82.5,NA,7,3.5,1,0,1,1,1,0,0,0,3,0,2019-04-01,"04"
1050,10.2941179275513,102,14,3,3,1,0,1,1,2,1,0,0,NA,0,2019-07-01,"07"
560,8,70,NA,6,3,0,0,0,0,0,0,0,1,13,0,2019-03-01,"03"
305,9.24242401123047,33,NA,NA,1,0,1,1,0,0,0,0,1,NA,0,2019-07-01,"07"
1240,9.6875,128,5,1,3.5,1,0,1,1,2,0,1,1,5,1,2019-07-01,"07"
795,12.2307691574097,65,51,7,3,1,1,0,1,1,0,0,0,6,0,2019-01-01,"01"
690,8.11764717102051,85,25,6,3,1,1,1,1,2,0,0,0,6,0,2019-07-01,"07"
355,11.09375,32,124,NA,1,0,1,0,1,1,0,0,0,4,0,2018-12-01,"12"
300,8.33333301544189,36,115,2,1,0,1,1,1,2,0,0,0,13,0,2019-07-01,"07"
750,6.94444465637207,108,NA,NA,3,1,1,1,0,0,0,1,1,NA,0,2019-10-01,"10"
500,7.57575750350952,66,48,7,3,0,1,1,1,2,0,0,1,4,0,2019-03-01,"03"
380,7.307692527771,52,NA,NA,2.5,1,1,0,0,0,0,0,0,5,0,2019-05-01,"05"
379.08,5.01561260223389,75.5800018310547,27,7,3,1,0,1,0,0,0,1,0,13,0,2019-02-01,"02"
496,8.25153923034668,60.1100006103516,7,NA,2,1,0,1,0,0,1,0,0,6,1,2019-10-01,"10"
395,7.45283031463623,53,55,2,2,0,0,1,1,2,0,0,1,13,0,2018-12-01,"12"
316.6,5.05993270874023,62.5699996948242,41,NA,2,1,0,1,0,0,0,0,0,13,0,2019-02-01,"02"
430,6.61538457870483,65,35,5,2,1,1,0,1,1,0,0,0,13,0,2019-05-01,"05"
447.52,7.2180643081665,62,25,7,2,1,0,1,0,0,0,0,0,13,0,2019-06-01,"06"
550,7.74647903442383,71,56,NA,3,1,0,1,0,0,0,0,0,13,0,2018-10-01,"10"
530,7.57142877578735,70,NA,6,2,0,0,0,0,0,0,0,1,13,0,2019-09-01,"09"
565,6.49425268173218,87,83,7,3,0,0,1,1,1,0,0,1,6,0,2019-06-01,"06"
399,4.76133632659912,83.8000030517578,56,5,4,1,0,1,0,0,0,1,0,3,0,2019-06-01,"06"
640,7.11111116409302,90,64,7,3,0,0,1,1,2,1,0,0,13,0,2019-11-01,"11"
580,7.94520568847656,73,2,7,2,1,1,1,1,2,1,1,0,13,0,2019-11-01,"11"
461.67,7.23507261276245,63.810001373291,58,NA,3,1,0,1,0,0,0,0,1,13,0,2019-06-01,"06"
555.16,9.12641716003418,60.8300018310547,61,NA,2,1,1,1,0,0,0,0,0,3,0,2019-01-01,"01"
1100,7.09677410125732,155,NA,NA,5,1,1,0,0,0,0,1,0,NA,0,2019-12-01,"12"
710,12.5088090896606,56.7599983215332,3,3,2,1,1,0,0,0,1,0,0,4,0,2019-04-01,"04"
560,8.87058448791504,63.1300010681152,2,1,2,1,0,1,1,2,1,0,1,12,1,2019-01-01,"01"
504,7.50558423995972,67.1500015258789,23,6,2,1,0,0,1,1,0,0,0,4,0,2019-07-01,"07"
599,8.55714321136475,70,60,6,3.5,0,1,1,0,0,0,1,1,13,0,2019-11-01,"11"
1250,9.46969699859619,132,25,2,4,1,0,0,1,2,0,0,0,6,0,2018-11-01,"11"
340,5.57377052307129,61,NA,7,2,0,0,1,0,0,0,0,1,10,0,2019-05-01,"05"
910,6.5,140,48,NA,4,1,0,1,1,1,0,1,1,6,0,2019-01-01,"01"
360,12,30,110,NA,2,0,1,1,0,0,0,0,0,13,0,2019-02-01,"02"
262.82,4.65003538131714,56.5200004577637,30,NA,2,1,0,1,0,0,0,0,0,13,0,2019-04-01,"04"
790,7.64171028137207,103.379997253418,31,3,2,1,0,1,1,1,1,0,0,13,0,2019-07-01,"07"
490,7.20588254928589,68,110,4,2,0,0,1,1,2,0,0,0,3,0,2019-06-01,"06"
512.13,8.50008296966553,60.25,NA,NA,3,1,1,1,0,0,0,0,0,13,0,2019-07-01,"07"
469,6.89705896377563,68,59,7,3,1,0,1,1,1,0,0,0,NA,0,2019-02-01,"02"
720,6.66666650772095,108,NA,5,4,1,0,1,1,1,0,0,1,NA,0,2019-06-01,"06"
243,5.40000009536743,45,100,NA,2,0,0,1,0,0,0,0,1,3,0,2019-05-01,"05"
480,7.16204166412354,67.0199966430664,65,2,3,0,0,1,0,0,0,0,0,13,0,2019-03-01,"03"
580,9.50819683074951,61,NA,6,3,0,1,0,1,2,0,0,0,NA,0,2019-11-01,"11"
365.58,4.74779224395752,77,50,NA,3,1,0,1,0,0,1,0,0,13,0,2019-02-01,"02"
1095,9.99178791046143,109.589996337891,2,1,4,1,0,1,1,2,1,0,0,5,1,2018-03-01,"03"
254,6.8778772354126,36.9300003051758,69,5,2,0,0,1,0,0,0,0,0,3,0,2019-10-01,"10"
600,10,60,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-07-01,"07"
690,10.615385055542,65,149,6,2,0,0,0,0,0,0,0,1,4,0,2019-07-01,"07"
665,5.15503883361816,129,54,7,3.5,1,0,1,0,0,0,1,1,6,0,2019-01-01,"01"
530,8.83333301544189,60,115,7,3,0,1,1,1,1,0,0,0,3,0,2019-10-01,"10"
500,7.14285707473755,70,51,6,2,1,1,0,0,0,0,0,0,13,0,2019-01-01,"01"
630,10,63,NA,4,3,0,0,0,0,0,0,0,0,4,0,2019-04-01,"04"
360,5.53846168518066,65,88,5,2,0,1,1,1,1,0,0,0,3,0,2019-05-01,"05"
385.56,5.89992380142212,65.3499984741211,45,7,2,1,0,1,1,1,0,0,0,13,0,2019-07-01,"07"
385.94,4.82425022125244,80,38,7,3,1,0,1,0,0,0,0,0,NA,0,2018-12-01,"12"
